KeyType,KeyValue,Source,Validity,Reliability,Module,Data
ip,147.229.176.80,os_by_tcpip,"[2021-10-16 16:59:25.000000,2021-11-09 03:35:58.783846]",1.0,os_by_tcpip@collector-enta,Windows
ip,147.229.15.138,os_by_tcpip,"[2021-10-16 16:59:25.000000,2021-11-09 03:35:59.006746]",1.0,os_by_tcpip@collector-enta,Ubuntu
ip,147.229.12.176,os_by_tcpip,"[2021-10-16 16:59:25.000000,2021-11-09 03:38:01.047852]",1.0,os_by_tcpip@collector-enta,Debian
ip,147.229.8.47,os_by_tcpip,"[2021-11-09 03:35:59.450374,2021-11-09 03:44:23.482723]",1.0,os_by_tcpip@collector-enta,Linux
ip,147.229.8.179,os_by_tcpip,"[2021-11-09 03:35:59.085351,2021-11-09 03:43:21.458734]",1.0,os_by_tcpip@collector-enta,CentOS
ip,147.229.13.107,os_by_tcpip,"[2021-11-09 03:36:01.310387,2021-11-09 03:45:00.996691]",1.0,os_by_tcpip@collector-enta,Windows
ip,147.229.8.146,os_by_tcpip,"[2021-11-09 03:33:52.969711,2021-11-09 03:46:01.891312]",1.0,os_by_tcpip@collector-enta,Linux
ip,147.229.12.210,os_by_tcpip,"[2021-11-09 03:36:03.050390,2021-11-09 03:41:53.230550]",1.0,os_by_tcpip@collector-enta,Windows
ip,147.229.15.152,os_by_tcpip,"[2021-11-09 03:36:04.115505,2021-11-09 03:36:04.115505]",1.0,os_by_tcpip@collector-enta,Ubuntu
ip,147.229.9.102,os_by_tcpip,"[2021-11-09 03:36:04.748030,2021-11-09 03:43:07.562831]",1.0,os_by_tcpip@collector-enta,Linux
ip,147.229.8.242,os_by_tcpip,"[2021-11-09 03:36:04.476912,2021-11-09 03:42:17.648918]",1.0,os_by_tcpip@collector-enta,Mac OS X
ip,147.229.12.244,os_by_tcpip,"[2021-11-09 03:36:05.284271,2021-11-09 03:44:59.960187]",1.0,os_by_tcpip@collector-enta,Linux
ip,147.229.177.159,os_by_tcpip,"[2021-11-09 03:36:05.108169,2021-11-09 03:45:09.157186]",1.0,os_by_tcpip@collector-enta,Linux
ip,147.229.12.190,os_by_tcpip,"[2021-11-09 03:36:06.295206,2021-11-09 03:45:16.808355]",1.0,os_by_tcpip@collector-enta,Windows
ip,147.229.12.81,os_by_tcpip,"[2021-11-09 03:36:06.184301,2021-11-09 03:44:38.324574]",1.0,os_by_tcpip@collector-enta,Mac OS X
ip,147.32.232.65,os_by_tcpip,"[2021-11-09 03:36:06.949512,2021-11-09 03:42:06.374819]",1.0,os_by_tcpip@collector-enta,Windows
ip,195.113.172.12,os_by_tcpip,"[2021-11-09 03:36:06.663610,2021-11-09 03:44:25.013877]",1.0,os_by_tcpip@collector-enta,Linux
ip,147.229.9.85,os_by_tcpip,"[2021-11-09 03:36:07.179480,2021-11-09 03:36:07.548171]",1.0,os_by_tcpip@collector-enta,Debian
ip,147.229.8.68,os_by_tcpip,"[2021-11-09 03:36:07.783978,2021-11-09 03:43:17.984492]",1.0,os_by_tcpip@collector-enta,CentOS
ip,147.229.8.175,os_by_tcpip,"[2021-11-09 03:36:09.984228,2021-11-09 03:36:09.984228]",1.0,os_by_tcpip@collector-enta,Ubuntu
ip,147.229.8.89,os_by_tcpip,"[2021-11-09 03:36:10.197270,2021-11-09 03:43:00.392573]",1.0,os_by_tcpip@collector-enta,Windows
ip,147.229.9.22,os_by_tcpip,"[2021-11-09 03:36:10.314157,2021-11-09 03:38:48.523688]",1.0,os_by_tcpip@collector-enta,openSUSE Linux
ip,147.229.13.71,os_by_tcpip,"[2021-11-09 03:36:10.052681,2021-11-09 03:45:20.351862]",1.0,os_by_tcpip@collector-enta,Ubuntu
ip,147.229.177.155,os_by_tcpip,"[2021-11-09 03:36:10.692704,2021-11-09 03:36:10.692704]",1.0,os_by_tcpip@collector-enta,Windows
ip,147.229.8.30,os_by_tcpip,"[2021-11-09 03:36:10.777426,2021-11-09 03:38:19.974327]",1.0,os_by_tcpip@collector-enta,Ubuntu
ip,147.229.8.57,os_by_tcpip,"[2021-11-09 03:36:10.116707,2021-11-09 03:40:32.665581]",1.0,os_by_tcpip@collector-enta,CentOS
ip,147.229.12.101,os_by_tcpip,"[2021-11-09 03:36:11.330679,2021-11-09 03:36:11.330679]",1.0,os_by_tcpip@collector-enta,Orbis OS
ip,147.229.9.86,os_by_tcpip,"[2021-11-09 03:36:12.669311,2021-11-09 03:44:23.849342]",1.0,os_by_tcpip@collector-enta,CentOS
ip,147.229.15.137,os_by_tcpip,"[2021-11-09 03:36:12.862052,2021-11-09 03:36:12.862052]",1.0,os_by_tcpip@collector-enta,Debian
ip,147.229.12.244,os_by_tcpip,"[2021-11-09 03:36:13.341250,2021-11-09 03:44:10.314927]",1.0,os_by_tcpip@collector-enta,Windows
ip,147.229.15.158,os_by_tcpip,"[2021-11-09 03:36:15.486062,2021-11-09 03:44:53.500539]",1.0,os_by_tcpip@collector-enta,Linux
ip,147.229.8.49,os_by_tcpip,"[2021-11-09 03:36:15.843908,2021-11-09 03:42:54.121513]",1.0,os_by_tcpip@collector-enta,Linux
ip,147.229.9.50,os_by_tcpip,"[2021-11-09 03:36:15.839090,2021-11-09 03:42:03.252290]",1.0,os_by_tcpip@collector-enta,Android
ip,147.229.8.97,os_by_tcpip,"[2021-11-09 03:36:16.127246,2021-11-09 03:45:17.010669]",1.0,os_by_tcpip@collector-enta,Linux
ip,147.32.232.134,os_by_tcpip,"[2021-11-09 03:36:16.286930,2021-11-09 03:45:35.193751]",1.0,os_by_tcpip@collector-enta,Windows
ip,147.229.9.86,os_by_tcpip,"[2021-11-09 03:36:17.382962,2021-11-09 03:41:17.886545]",1.0,os_by_tcpip@collector-enta,Linux
ip,147.229.9.86,os_by_tcpip,"[2021-11-09 03:36:16.869950,2021-11-09 03:36:17.499324]",1.0,os_by_tcpip@collector-enta,Debian
ip,147.229.9.50,os_by_tcpip,"[2021-11-09 03:36:17.600751,2021-11-09 03:37:52.034987]",1.0,os_by_tcpip@collector-enta,openSUSE Linux
ip,147.229.15.159,os_by_tcpip,"[2021-11-09 03:36:18.535768,2021-11-09 03:42:49.182448]",1.0,os_by_tcpip@collector-enta,Debian
ip,147.229.15.153,os_by_tcpip,"[2021-11-09 03:36:18.484811,2021-11-09 03:42:49.181457]",1.0,os_by_tcpip@collector-enta,Debian
ip,147.229.9.85,os_by_tcpip,"[2021-11-09 03:10:38.193531,2021-11-09 03:45:49.083761]",1.0,os_by_tcpip@collector-enta,Linux
ip,147.229.15.131,os_by_tcpip,"[2021-11-09 03:36:19.859939,2021-11-09 03:42:49.179255]",1.0,os_by_tcpip@collector-enta,Debian
ip,147.32.232.238,os_by_tcpip,"[2021-11-09 03:36:19.429131,2021-11-09 03:44:39.349586]",1.0,os_by_tcpip@collector-enta,Ubuntu
ip,147.229.13.101,os_by_tcpip,"[2021-11-09 03:36:19.479422,2021-11-09 03:44:11.840708]",1.0,os_by_tcpip@collector-enta,Windows
ip,147.229.9.50,os_by_tcpip,"[2021-11-09 03:36:19.360257,2021-11-09 03:39:22.878270]",1.0,os_by_tcpip@collector-enta,Windows
ip,147.229.8.79,os_by_tcpip,"[2021-11-09 03:36:21.724796,2021-11-09 03:45:33.781237]",1.0,os_by_tcpip@collector-enta,Linux
ip,147.32.232.232,os_by_tcpip,"[2021-11-09 03:36:21.988883,2021-11-09 03:45:25.118978]",1.0,os_by_tcpip@collector-enta,Linux
ip,147.229.9.1,os_by_tcpip,"[2021-11-09 03:36:22.257030,2021-11-09 03:44:39.009469]",1.0,os_by_tcpip@collector-enta,Windows
ip,147.229.9.2,os_by_tcpip,"[2021-11-09 03:36:22.603280,2021-11-09 03:36:22.603280]",1.0,os_by_tcpip@collector-enta,Orbis OS
ip,147.32.232.97,os_by_tcpip,"[2021-11-09 03:36:22.637706,2021-11-09 03:40:45.451052]",1.0,os_by_tcpip@collector-enta,Linux
ip,147.229.8.22,os_by_tcpip,"[2021-11-09 03:36:23.238213,2021-11-09 03:36:23.238213]",1.0,os_by_tcpip@collector-enta,Ubuntu
ip,147.32.232.237,os_by_tcpip,"[2021-11-09 03:36:23.898955,2021-11-09 03:45:48.346456]",1.0,os_by_tcpip@collector-enta,openSUSE Linux
ip,147.32.232.148,os_by_tcpip,"[2021-11-09 03:36:23.424858,2021-11-09 03:45:43.481663]",1.0,os_by_tcpip@collector-enta,Linux
ip,147.229.12.166,os_by_tcpip,"[2021-11-09 03:36:23.652731,2021-11-09 03:45:21.936977]",1.0,os_by_tcpip@collector-enta,Windows
ip,147.229.8.48,os_by_tcpip,"[2021-11-09 03:36:23.735374,2021-11-09 03:45:56.931856]",1.0,os_by_tcpip@collector-enta,Windows
ip,147.32.232.217,os_by_tcpip,"[2021-11-09 03:36:23.932248,2021-11-09 03:43:29.887771]",1.0,os_by_tcpip@collector-enta,Android
ip,147.229.177.183,os_by_tcpip,"[2021-11-09 03:36:25.398096,2021-11-09 03:45:14.911620]",1.0,os_by_tcpip@collector-enta,Linux
ip,147.229.8.154,os_by_tcpip,"[2021-11-09 03:36:27.388869,2021-11-09 03:36:27.388869]",1.0,os_by_tcpip@collector-enta,Mac OS X
ip,147.229.15.131,os_by_tcpip,"[2021-11-09 03:36:27.527689,2021-11-09 03:44:20.876042]",1.0,os_by_tcpip@collector-enta,Mac OS X
ip,147.229.9.2,os_by_tcpip,"[2021-11-09 03:36:28.194497,2021-11-09 03:42:49.281887]",1.0,os_by_tcpip@collector-enta,Mac OS X
ip,147.229.176.8,os_by_tcpip,"[2021-11-09 03:36:29.707331,2021-11-09 03:36:29.707331]",1.0,os_by_tcpip@collector-enta,Mac OS X
ip,147.229.13.55,os_by_tcpip,"[2021-11-09 03:36:29.936747,2021-11-09 03:45:48.330389]",1.0,os_by_tcpip@collector-enta,Linux
ip,147.229.176.14,os_by_tcpip,"[2021-11-09 03:36:30.833831,2021-11-09 03:45:02.595767]",1.0,os_by_tcpip@collector-enta,openSUSE Linux
ip,147.229.8.118,os_by_tcpip,"[2021-11-09 03:34:05.867513,2021-11-09 03:46:32.084609]",1.0,os_by_tcpip@collector-enta,openSUSE Linux
ip,147.229.13.121,os_by_tcpip,"[2021-11-09 03:36:33.471724,2021-11-09 03:42:47.732984]",1.0,os_by_tcpip@collector-enta,Debian
ip,147.32.232.217,os_by_tcpip,"[2021-11-09 03:36:33.423487,2021-11-09 03:45:28.147563]",1.0,os_by_tcpip@collector-enta,Windows
ip,195.113.172.27,os_by_tcpip,"[2021-11-09 03:36:34.025959,2021-11-09 03:38:10.034844]",1.0,os_by_tcpip@collector-enta,Mac OS X
ip,147.229.8.24,os_by_tcpip,"[2021-11-09 03:36:34.376773,2021-11-09 03:36:34.376773]",1.0,os_by_tcpip@collector-enta,Ubuntu
ip,147.229.13.195,os_by_tcpip,"[2021-11-09 03:36:34.132517,2021-11-09 03:42:47.985289]",1.0,os_by_tcpip@collector-enta,Debian
ip,147.229.8.31,os_by_tcpip,"[2021-11-09 03:36:35.571207,2021-11-09 03:36:35.641999]",1.0,os_by_tcpip@collector-enta,Ubuntu
ip,147.229.15.158,os_by_tcpip,"[2021-11-09 03:36:35.359536,2021-11-09 03:37:55.805162]",1.0,os_by_tcpip@collector-enta,Windows
ip,147.229.15.152,os_by_tcpip,"[2021-11-09 03:36:35.570621,2021-11-09 03:43:33.541711]",1.0,os_by_tcpip@collector-enta,Windows
ip,147.229.8.127,os_by_tcpip,"[2021-11-09 03:34:05.877559,2021-11-09 03:46:35.536994]",1.0,os_by_tcpip@collector-enta,Linux
ip,147.229.9.85,os_by_tcpip,"[2021-11-09 01:15:48.158427,2021-11-09 03:45:58.291484]",1.0,os_by_tcpip@collector-enta,openSUSE Linux
ip,147.229.15.156,os_by_tcpip,"[2021-11-09 03:36:36.439021,2021-11-09 03:45:31.121069]",1.0,os_by_tcpip@collector-enta,Linux
ip,147.229.13.185,os_by_tcpip,"[2021-11-09 03:36:36.899107,2021-11-09 03:45:07.101359]",1.0,os_by_tcpip@collector-enta,Windows
ip,147.229.9.10,os_by_tcpip,"[2021-11-09 03:36:36.385661,2021-11-09 03:39:50.979616]",1.0,os_by_tcpip@collector-enta,Mac OS X
ip,147.229.8.19,os_by_tcpip,"[2021-11-09 03:36:36.495063,2021-11-09 03:45:31.851715]",1.0,os_by_tcpip@collector-enta,Linux
ip,147.229.8.91,os_by_tcpip,"[2021-11-09 03:36:36.302607,2021-11-09 03:45:19.436048]",1.0,os_by_tcpip@collector-enta,Windows
ip,147.32.232.102,os_by_tcpip,"[2021-11-09 03:36:37.785652,2021-11-09 03:40:14.552457]",1.0,os_by_tcpip@collector-enta,CentOS
ip,147.229.13.201,os_by_tcpip,"[2021-11-09 03:36:38.842806,2021-11-09 03:42:47.986470]",1.0,os_by_tcpip@collector-enta,Debian
ip,147.229.8.84,os_by_tcpip,"[2021-11-09 03:36:38.829486,2021-11-09 03:36:38.829486]",1.0,os_by_tcpip@collector-enta,Ubuntu
ip,147.229.8.214,os_by_tcpip,"[2021-11-09 03:36:38.957589,2021-11-09 03:46:01.136612]",1.0,os_by_tcpip@collector-enta,Mac OS X
ip,147.229.12.187,os_by_tcpip,"[2021-11-09 03:36:38.860225,2021-11-09 03:41:15.792172]",1.0,os_by_tcpip@collector-enta,Windows
ip,147.229.13.221,os_by_tcpip,"[2021-11-09 03:36:39.591588,2021-11-09 03:45:55.550640]",1.0,os_by_tcpip@collector-enta,Linux
ip,147.229.13.104,os_by_tcpip,"[2021-11-09 03:36:40.626598,2021-11-09 03:36:40.626598]",1.0,os_by_tcpip@collector-enta,Ubuntu
ip,147.229.13.56,os_by_tcpip,"[2021-11-09 03:36:40.559014,2021-11-09 03:45:47.505055]",1.0,os_by_tcpip@collector-enta,Linux
ip,195.113.172.17,os_by_tcpip,"[2021-11-09 03:36:41.083195,2021-11-09 03:43:04.474530]",1.0,os_by_tcpip@collector-enta,Mac OS X
ip,147.229.13.185,os_by_tcpip,"[2021-11-09 03:36:41.563389,2021-11-09 03:45:56.675161]",1.0,os_by_tcpip@collector-enta,Linux
ip,147.32.232.150,os_by_tcpip,"[2021-11-09 03:36:41.637061,2021-11-09 03:45:17.259037]",1.0,os_by_tcpip@collector-enta,Mac OS X
ip,147.229.9.85,os_by_tcpip,"[2021-11-09 01:03:59.435646,2021-11-09 03:46:17.291797]",1.0,os_by_tcpip@collector-enta,Linux
ip,147.229.9.85,os_by_tcpip,"[2021-11-09 03:10:31.893078,2021-11-09 03:46:07.699882]",1.0,os_by_tcpip@collector-enta,openSUSE Linux
ip,147.229.13.176,os_by_tcpip,"[2021-11-09 03:36:42.176255,2021-11-09 03:41:20.217244]",1.0,os_by_tcpip@collector-enta,CentOS
ip,147.32.232.237,os_by_tcpip,"[2021-11-09 03:36:42.050825,2021-11-09 03:46:06.577501]",1.0,os_by_tcpip@collector-enta,Windows
ip,147.32.232.71,os_by_tcpip,"[2021-11-09 03:36:42.300078,2021-11-09 03:44:43.088460]",1.0,os_by_tcpip@collector-enta,Linux
ip,147.229.13.244,os_by_tcpip,"[2021-11-09 03:36:44.148740,2021-11-09 03:45:24.634477]",1.0,os_by_tcpip@collector-enta,Mac OS X
ip,147.229.177.163,os_by_tcpip,"[2021-11-09 03:36:44.678829,2021-11-09 03:36:44.678829]",1.0,os_by_tcpip@collector-enta,Mac OS X
ip,147.229.13.220,os_by_tcpip,"[2021-11-09 03:36:44.746743,2021-11-09 03:36:44.746743]",1.0,os_by_tcpip@collector-enta,Debian
ip,147.229.12.39,os_by_tcpip,"[2021-11-09 03:36:45.590108,2021-11-09 03:45:58.594889]",1.0,os_by_tcpip@collector-enta,Mac OS X
